1,2,10768.789
1,3,35365.764
1,4,26237.127
1,5,14027.723
1,6,4407.17
1,7,10658.336
1,8,11675.463
1,9,20239.988
1,10,28695.971
2,1,10768.789
2,3,26040.879
2,4,17495.551
2,5,9183.465
2,6,10946.547
2,7,3426.601
2,8,4909.222
2,9,13760.459
2,10,21977.517
3,1,35376.803
3,2,26069.736
3,4,12069.776
3,5,27175.409
3,6,34340.487
3,7,25590.486
3,8,24999.283
3,9,17461.554
3,10,11096.038
4,1,26248.166
4,2,17509.676
4,3,12069.776
4,5,18046.772
4,6,26845.854
4,7,16461.849
4,8,15870.646
4,9,8332.917
4,10,5819.64
5,1,14027.723
5,2,9121.791
5,3,27175.409
5,4,18046.772
5,6,17047.316
5,7,5984.598
5,8,6936.416
5,9,10633.026
5,10,19089.009
6,1,4409.078
6,2,10946.259
6,3,34311.63
6,4,26831.729
6,5,17049.224
6,7,12294.851
6,8,13777.472
6,9,23261.489
6,10,31313.695
7,1,10769.469
7,2,3426.601
7,3,25462.33
7,4,16333.693
7,5,6046.272
7,6,12292.943
7,8,1772.029
7,9,11352.524
7,10,19808.507
8,1,11675.463
8,2,4917.224
8,3,24988.244
8,4,15859.607
8,5,6846.153
8,6,13892.681
8,7,1889.146
8,9,11352.958
8,10,19808.941
9,1,20239.988
9,2,13760.459
9,3,17461.554
9,4,8332.917
9,5,10633.026
9,6,23259.581
9,7,11300.929
9,8,11352.958
9,10,8801.549
10,1,28695.971
10,2,21991.642
10,3,11099.693
10,4,5819.64
10,5,19089.009
10,6,31327.82
10,7,19756.912
10,8,19808.941
10,9,8801.549
