1,2,658.398
1,3,633.235
1,4,880.71
1,5,830.517
1,6,467.424
1,7,375.414
1,8,722.132
1,9,740.836
1,10,1388.548
2,1,663.351
2,3,602.113
2,4,726.135
2,5,1299.735
2,6,1000.33
2,7,908.32
2,8,649.436
2,9,150.478
2,10,857.435
3,1,631.753
3,2,602.113
3,4,302.218
3,5,909.953
3,6,722.254
3,7,652.904
3,8,88.897
3,9,684.551
3,10,1035.248
4,1,881.583
4,2,726.135
4,3,302.218
4,5,1194.707
4,6,1007.008
4,7,937.658
4,8,349.541
4,9,685.572
4,10,807.534
5,1,830.525
5,2,1295.269
5,3,911.003
5,4,1195.757
5,6,629.622
5,7,560.272
5,8,938.574
5,9,1377.707
5,10,1928.787
6,1,464.722
6,2,993.154
6,3,722.254
6,4,1007.008
6,5,629.622
6,7,98.362
6,8,749.825
6,9,1075.592
6,10,1723.304
7,1,371.008
7,2,899.44
7,3,651.176
7,4,935.93
7,5,558.544
7,6,96.634
7,8,678.747
7,9,981.878
7,10,1629.59
8,1,720.65
8,2,649.436
8,3,88.897
8,4,349.541
8,5,937.524
8,6,749.825
8,7,680.475
8,9,731.874
8,10,1082.571
9,1,745.789
9,2,150.478
9,3,684.551
9,4,686.949
9,5,1382.173
9,6,1082.768
9,7,990.758
9,8,731.874
9,10,731.745
10,1,1392.871
10,2,857.435
10,3,1035.248
10,4,807.534
10,5,1927.737
10,6,1729.85
10,7,1637.84
10,8,1082.571
10,9,731.745
